subject,session,run,electrode,condition,X,Y,Z,X_ref,Y_ref,Z_ref,stim,dX,dY,dZ,deviation_mm,exp,project,network,star_min_angle,star_radius_cv,spoke_min_mm,spoke_max_mm,star_hub_agrees,note,baseline_residual_mm,baseline_condition_used
sub-1116,ses-2,run-02,anode,control,-52.44358404,-33.80273784,66.83792631,-48.75531745201044,-33.56227559026083,69.60459129494461,active,-3.6882665879895598,-0.24046224973916708,-2.7666649849446117,4.616878562031748,P1,P1,a_baseline,101.38,0.0054,57.55,58.3,True,different_montage?+high_residual,48.69,control
sub-1116,ses-2,run-02,cathode1,control,-37.70991635,16.47945301,65.46500883,-34.631637697273035,19.31324208454494,65.42684712897878,active,-3.078278652726965,-2.8337890745449386,0.03816170102122385,4.184210355403948,P1,P1,a_baseline,101.38,0.0054,57.55,58.3,True,different_montage?+high_residual,48.69,control
sub-1116,ses-2,run-02,cathode2,control,-70.06064853,-52.3574857,21.64580423,-71.07638109333487,-51.74103547333285,25.094369993576475,active,1.015732563334879,-0.6164502266671477,-3.4485657635764753,3.6475100202588364,P1,P1,a_baseline,101.38,0.0054,57.55,58.3,True,different_montage?+high_residual,48.69,control
sub-1116,ses-2,run-02,cathode3,control,-18.70456379,-71.51809795,81.02843004,-7.573473002709714,-64.9934283288762,82.590868031208,active,-11.131090787290287,-6.524669621123792,-1.5624379912080002,12.996680663003321,P1,P1,a_baseline,101.38,0.0054,57.55,58.3,True,different_montage?+high_residual,48.69,control
sub-1116,ses-4,run-01,anode,control,-56.21413777,-22.8819389,60.41977087,-48.75531745201044,-33.56227559026083,69.60459129494461,active,-7.458820317989563,10.68033669026083,-9.184820424944611,15.939401450238503,P1,P1,a_baseline,105.15,0.0464,54.76,61.12,True,different_montage?+high_residual,53.12,control
sub-1116,ses-4,run-01,cathode1,control,-36.33836897,27.13093711,61.08023315,-34.631637697273035,19.31324208454494,65.42684712897878,active,-1.7067312727269623,7.817695025455063,-4.34661397897878,9.106170448140247,P1,P1,a_baseline,105.15,0.0464,54.76,61.12,True,different_montage?+high_residual,53.12,control
sub-1116,ses-4,run-01,cathode2,control,-72.00115296,-40.00488698,16.82977879,-71.07638109333487,-51.74103547333285,25.094369993576475,active,-0.9247718666651252,11.736148493332848,-8.264591203576476,14.383874729194767,P1,P1,a_baseline,105.15,0.0464,54.76,61.12,True,different_montage?+high_residual,53.12,control
sub-1116,ses-4,run-01,cathode3,control,-25.292957,-63.38947744,81.41427785,-7.573473002709714,-64.9934283288762,82.590868031208,active,-17.719483997290286,1.6039508888762057,-1.1765901812079989,17.830791795056896,P1,P1,a_baseline,105.15,0.0464,54.76,61.12,True,different_montage?+high_residual,53.12,control
sub-1116,ses-4,run-02,anode,control,-55.93483254,-23.40595348,59.72219348,-48.75531745201044,-33.56227559026083,69.60459129494461,active,-7.179515087989564,10.156322110260831,-9.88239781494461,15.885783023787805,P1,P1,a_baseline,106.18,0.0516,54.38,61.49,True,different_montage?+high_residual,52.78,control
sub-1116,ses-4,run-02,cathode1,control,-36.03549237,26.68378816,60.40348914,-34.631637697273035,19.31324208454494,65.42684712897878,active,-1.4038546727269647,7.37054607545506,-5.0233579889787805,9.029389950488364,P1,P1,a_baseline,106.18,0.0516,54.38,61.49,True,different_montage?+high_residual,52.78,control
