subject,session,run,electrode,condition,X,Y,Z,coordinates_xyz,euclidean_norm
sub-006,ses-1,run-01,cathode1,target,64.09866609,-82.09479157,31.52702387,"[64.099, -82.095, 31.527]",108.82162942879788
sub-006,ses-1,run-01,cathode2,target,56.02099937,-82.07046172,-23.95325394,"[56.021, -82.070, -23.953]",102.21385146672466
sub-006,ses-1,run-01,cathode3,target,76.2323037,-36.4363497,-0.0249032452,"[76.232, -36.436, -0.025]",84.49243946674369
sub-006,ses-1,run-02,anode,target,70.21452622,-68.71780973,1.4992752,"[70.215, -68.718, 1.499]",98.25713659838091
sub-006,ses-1,run-02,cathode1,target,64.19009185,-83.05156931,31.31168374,"[64.190, -83.052, 31.312]",109.53699190318744
sub-006,ses-1,run-02,cathode2,target,55.95652282,-82.55481247,-24.3329479,"[55.957, -82.555, -24.333]",102.6573030113599
sub-006,ses-1,run-02,cathode3,target,76.33480183,-36.76910315,0.11757958,"[76.335, -36.769, 0.118]",84.72887785069707
sub-006,ses-2,run-01,anode,target,71.44172778,-66.46519346,6.08190702,"[71.442, -66.465, 6.082]",97.76774520703019
sub-006,ses-2,run-01,cathode1,target,62.64392771,-85.26375468,24.40493291,"[62.644, -85.264, 24.405]",108.58070865217509
sub-006,ses-2,run-01,cathode2,target,63.62788104,-69.04197328,-24.09947415,"[63.628, -69.042, -24.099]",96.93341000059341
